discussion_tier,priority_score,cnae_class,cnae_name,trade_value_usd,import_value_usd,export_value_usd,trade_balance_usd,domestic_production_value_brl_thousand,external_dependency_ratio,transition_relevance,rationale
3 - monitorar,0.13823230492920244,2944,Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,715093396.9588681,552967118.4092469,162126278.5496212,-390840839.8596257,23644685.0,0.1157811193594015,True,relevante para transi??o energ?tica
3 - monitorar,0.13727944246781448,2853,"Fabricação de tratores, exceto agrícolas",276913439.64758205,191946561.7898985,84966877.85768354,-106979683.932215,5899881.0,0.1597999272717381,True,relevante para transi??o energ?tica
3 - monitorar,0.1358919954621578,2399,Fabricação de produtos de minerais não-metálicos não especificados anteriormente,532573894.48759913,381423298.6271379,151150595.8604612,-230272702.7666767,15161796.0,0.1253786870625941,True,relevante para transi??o energ?tica
3 - monitorar,0.13421372917928487,2550,"Fabricação de equipamento bélico pesado, armas de fogo e munições",181503748.0,132896217.0,48607531.0,-84288686.0,4219338.0,0.1533173985715243,True,relevante para transi??o energ?tica
3 - monitorar,0.13349979231937936,2862,"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",312947049.2895882,212753646.64267397,100193402.64691427,-112560243.99575968,7788490.0,0.1366425415691729,True,relevante para transi??o energ?tica
3 - monitorar,0.13307912162922025,2851,Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo,283675214.7598017,162881550.60471094,120793664.15509076,-42087886.44962019,6120613.0,0.1383619997504637,True,relevante para transi??o energ?tica
3 - monitorar,0.13291427162532643,3220,Fabricação de instrumentos musicais,57735015.0,55950118.0,1784897.0,-54165221.0,165253.0,0.6596884499554877,False,depend?ncia externa muito alta
3 - monitorar,0.13126126181166864,2021,Fabricação de produtos petroquímicos básicos,650925585.9946074,497793184.33932686,153132401.6552806,-344660782.68404627,31577774.0,0.0802755570577534,True,relevante para transi??o energ?tica
3 - monitorar,0.13069030004499704,2943,Fabricação de peças e acessórios para o sistema de freios de veículos automotores,527596860.23822236,357328548.23075044,170268312.00747192,-187060236.2232785,18807422.0,0.0972303199243491,True,relevante para transi??o energ?tica
3 - monitorar,0.1293491493212081,2541,Fabricação de artigos de cutelaria,106602530.25538436,57239620.40795286,49362909.847431496,-7876710.560521364,2215608.0,0.1366811795873154,True,relevante para transi??o energ?tica
3 - monitorar,0.1291106126972727,1922,"Fabricação de produtos derivados do petróleo, exceto produtos do refino",695801043.0808944,474917121.0242941,220883922.05660027,-254033198.96769387,42707934.0,0.0580965336762735,True,relevante para transi??o energ?tica
3 - monitorar,0.12733578273157736,2091,Fabricação de adesivos e selantes,155159909.0,120662070.0,34497839.0,-86164231.0,4936397.0,0.1204614524084227,True,relevante para transi??o energ?tica
3 - monitorar,0.12683495214603185,2599,Fabricação de produtos de metal não especificados anteriormente,610494204.9536511,413597845.1138153,196896359.8398358,-216701485.2739795,37809764.0,0.057214672478495,True,relevante para transi??o energ?tica
3 - monitorar,0.12681980956168076,2733,"Fabricação de fios, cabos e condutores elétricos isolados",605381782.5145073,403665435.36100256,201716347.15350467,-201949088.2074979,35698124.0,0.0591667794007938,True,relevante para transi??o energ?tica
3 - monitorar,0.12531334022701526,3102,Fabricação de móveis com predominância de metal,181092088.41801605,152204606.31494296,28887482.103073087,-123317124.21186988,7033555.0,0.1066040780315775,True,relevante para transi??o energ?tica
3 - monitorar,0.124916774045643,2532,Produção de artefatos estampados de metal; metalurgia do pó,337381973.17733264,246823049.4825044,90558923.69482826,-156264125.7876761,14518950.0,0.0866368094526369,True,relevante para transi??o energ?tica
3 - monitorar,0.12405064508551061,2751,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico",424429607.08276033,363287480.2518557,61142126.83090467,-302145353.420951,28870191.0,0.064225992813963,True,relevante para transi??o energ?tica
3 - monitorar,0.12401036904051978,1931,Fabricação de álcool,432794147.5474719,207100290.43510407,225693857.1123678,18593566.677263737,101117277.0,0.0110544547594015,True,relevante para transi??o energ?tica
3 - monitorar,0.12395785744247169,2521,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",85006608.0,58824243.0,26182365.0,-32641878.0,2682018.0,0.1109792331263082,True,relevante para transi??o energ?tica
3 - monitorar,0.12309999527587975,3032,Fabricação de peças e acessórios para veículos ferroviários,87236197.0,76976757.0,10259440.0,-66717317.0,3566206.0,0.1057222428650521,True,relevante para transi??o energ?tica
3 - monitorar,0.12290102303255832,2061,Fabricação de sabões e detergentes sintéticos,640937114.20648,216819021.90079767,424118092.3056824,207299070.40488464,27310874.0,0.0446335487612069,True,relevante para transi??o energ?tica
3 - monitorar,0.1217705148245668,2930,"Fabricação de cabines, carrocerias e reboques para veículos automotores",553027814.6047318,258117537.752045,294910276.8526868,36792739.10064182,36308038.0,0.0385429893770219,True,relevante para transi??o energ?tica
3 - monitorar,0.1196601740270916,2593,Fabricação de artigos de metal para uso doméstico e pessoal,113599604.2824357,83909948.02240194,29689656.26003376,-54220291.76236819,5003591.0,0.0854320717601063,True,relevante para transi??o energ?tica
3 - monitorar,0.11880610734465052,2222,Fabricação de embalagens de material plástico,366253007.0,234872397.0,131380610.0,-103491787.0,58373569.0,0.021489926585761,True,relevante para transi??o energ?tica
3 - monitorar,0.11869149601522211,2825,Fabricação de máquinas e equipamentos para saneamento básico e ambiental,51434680.92677702,40820452.56332441,10614228.363452615,-30206224.19987179,2351328.0,0.0875445447707766,True,relevante para transi??o energ?tica
