cnae_key,cnae_class,tsb_associated,tsb_cnae5_count,tsb_cnae5_list,tsb_scn67_list,tsb_setor_scn67_list,tsb_exposicao_scn67_max,tsb_grupo_exposicao,tsb_leitura_tecnica
131,2094,False,0,,,,0.0,Sem exposicao TSB direta,
132,2099,False,0,,,,0.0,Sem exposicao TSB direta,
133,2110,False,0,,,,0.0,Sem exposicao TSB direta,
134,2121,False,0,,,,0.0,Sem exposicao TSB direta,
135,2122,False,0,,,,0.0,Sem exposicao TSB direta,
136,2123,False,0,,,,0.0,Sem exposicao TSB direta,
137,2211,False,0,,,,0.0,Sem exposicao TSB direta,
138,2212,False,0,,,,0.0,Sem exposicao TSB direta,
139,2219,False,0,,,,0.0,Sem exposicao TSB direta,
140,2221,False,0,,,,0.0,Sem exposicao TSB direta,
141,2222,False,0,,,,0.0,Sem exposicao TSB direta,
142,2223,False,0,,,,0.0,Sem exposicao TSB direta,
143,2229,False,0,,,,0.0,Sem exposicao TSB direta,
144,2311,True,1,23117,2300,Fabricação de produtos de minerais não-metálicos,0.2389,Exposicao intermediaria TSB,Exposição parcial em setor heterogêneo.
145,2312,True,1,23125,2300,Fabricação de produtos de minerais não-metálicos,0.2389,Exposicao intermediaria TSB,Exposição parcial em setor heterogêneo.
146,2319,True,1,23192,2300,Fabricação de produtos de minerais não-metálicos,0.2389,Exposicao intermediaria TSB,Exposição parcial em setor heterogêneo.
